,index,datapoints [#],time [s],frequency [Hz],Z_real [Ohm],Z_imag [Ohm],Z_sig [V],Zmod [ohm],Z_phz [°C],I_DC [A],V_DC [V],IE_Range [#]
67,,68.0,22.334202,22.321428,0.013475,-0.001481,0.013557,-6.269989,,,,
68,,69.0,19.905378,19.862288,0.013488,-0.001439,0.013564,-6.087718,,,,
69,,70.0,17.740687,17.755682,0.01362,-0.001309,0.013683,-5.489913,,,,
70,,71.0,15.811404,15.782828,0.013682,-0.001356,0.013749,-5.658155,,,,
71,,72.0,14.091929,14.118976,0.01379,-0.001294,0.013851,-5.362322,,,,
72,,73.0,12.559445,12.600806,0.013884,-0.001383,0.013952,-5.687139,,,,
73,,74.0,11.193617,11.160714,0.013952,-0.001294,0.014011,-5.299169,,,,
74,,75.0,9.976322,9.973404,0.014107,-0.001313,0.014168,-5.315915,,,,
75,,76.0,8.891406,8.877841,0.01421,-0.001284,0.014268,-5.161977,,,,
76,,77.0,7.924474,7.878151,0.01424,-0.00124,0.014294,-4.978293,,,,
77,,78.0,7.062695,7.059488,0.014392,-0.001116,0.014435,-4.435034,,,,
78,,79.0,6.294633,6.2751,0.014471,-0.001152,0.014516,-4.549773,,,,
79,,80.0,5.610098,5.580357,0.014524,-0.000965,0.014556,-3.801185,,,,
80,,81.0,5.000005,5.013369,0.014671,-0.000998,0.014705,-3.892838,,,,
81,,82.0,4.456259,4.451567,0.014784,-0.000854,0.014808,-3.307826,,,,
82,,83.0,3.971645,3.985969,0.014829,-0.000776,0.01485,-2.995641,,,,
83,,84.0,3.539732,3.529744,0.01484,-0.000727,0.014858,-2.805125,,,,
84,,85.0,3.15479,3.13755,0.014947,-0.0006,0.014959,-2.298078,,,,
85,,86.0,2.811709,2.823795,0.014948,-0.000532,0.014957,-2.039573,,,,
86,,87.0,2.505939,2.516103,0.014977,-0.000496,0.014985,-1.897696,,,,
87,,88.0,2.23342,2.225784,0.015005,-0.000354,0.015009,-1.353048,,,,
88,,89.0,1.990538,1.99553,0.014966,-0.000287,0.014969,-1.097643,,,,
89,,90.0,1.774069,1.775568,0.01496,-0.000239,0.014962,-0.916958,,,,
90,,91.0,1.58114,1.583615,0.014963,-0.000163,0.014964,-0.624259,,,,
91,,92.0,1.409193,1.411472,0.014934,-0.000109,0.014934,-0.419271,,,,
92,,93.0,1.255944,1.258052,0.014915,-3.075109e-05,0.014915,-0.11813,,,,
93,,94.0,1.119362,1.112892,0.014927,-9.329701e-06,0.014927,-0.03581,,,,
94,,95.0,0.997632,0.997765,0.014862,6.855775e-05,0.014862,0.264303,,,,
95,,96.0,0.889141,0.890313,0.014856,9.703321e-05,0.014857,0.374217,,,,
96,,97.0,0.792447,0.792745,0.014814,0.000114,0.014814,0.439774,,,,
97,,98.0,0.706269,0.705736,0.014767,0.000199,0.014769,0.772163,,,,
98,,99.0,0.629463,0.63004,0.014711,0.000215,0.014712,0.837372,,,,
99,,100.0,0.56101,0.563401,0.014674,0.000257,0.014677,1.003524,,,,
100,,101.0,0.500001,0.500801,0.014643,0.000283,0.014646,1.107207,,,,
101,,102.0,0.445626,0.447281,0.014562,0.000313,0.014565,1.230931,,,,
102,,103.0,0.397165,0.398597,0.014539,0.000321,0.014542,1.26674,,,,
103,,104.0,0.353973,0.355114,0.014502,0.000325,0.014505,1.283253,,,,
104,,105.0,0.315479,0.316723,0.014424,0.000368,0.014429,1.460044,,,,
105,,106.0,0.281171,0.281701,0.014376,0.000381,0.014381,1.517518,,,,
106,,107.0,0.250594,0.251475,0.014297,0.000398,0.014303,1.594191,,,,
107,,108.0,0.223342,0.22364,0.014248,0.000401,0.014254,1.613562,,,,
108,,109.0,0.199054,0.199298,0.014179,0.000444,0.014186,1.794326,,,,
109,,110.0,0.177407,0.177557,0.01411,0.000452,0.014117,1.835115,,,,
110,,111.0,0.158114,0.158361,0.014047,0.00047,0.014055,1.916393,,,,
111,,112.0,0.140919,0.14119,0.013993,0.000489,0.014001,2.002219,,,,
112,,113.0,0.125594,0.125738,0.01391,0.0005,0.013919,2.05713,,,,
113,,114.0,0.111936,0.112034,0.013853,0.000512,0.013863,2.114745,,,,
