,index,datapoints [#],time [s],frequency [Hz],Z_real [Ohm],Z_imag [Ohm],Z_sig [V],Zmod [ohm],Z_phz [°C],I_DC [A],V_DC [V],IE_Range [#]
36,,37.0,792.447389,790.028076,0.008844,-0.001056,0.008907,-6.808774,,,,
37,,38.0,706.269479,708.575562,0.008915,-0.001109,0.008984,-7.090759,,,,
38,,39.0,629.463335,628.810974,0.008998,-0.001164,0.009073,-7.369514,,,,
39,,40.0,561.009788,560.461975,0.009077,-0.001212,0.009158,-7.603537,,,,
40,,41.0,500.0005,502.232147,0.009168,-0.001282,0.009257,-7.962683,,,,
41,,42.0,445.625915,444.078949,0.009268,-0.001348,0.009365,-8.274328,,,,
42,,43.0,397.164515,395.331329,0.009363,-0.001416,0.009469,-8.602688,,,,
43,,44.0,353.973246,352.822571,0.009483,-0.001468,0.009596,-8.797191,,,,
44,,45.0,315.478988,315.504822,0.009594,-0.001525,0.009715,-9.033222,,,,
45,,46.0,281.170944,282.379517,0.00971,-0.001582,0.009838,-9.255137,,,,
46,,47.0,250.593867,249.335114,0.009845,-0.001648,0.009982,-9.50275,,,,
47,,48.0,223.342019,223.214279,0.00999,-0.001696,0.010133,-9.635869,,,,
48,,49.0,199.053784,198.622879,0.010129,-0.001752,0.01028,-9.812785,,,,
49,,50.0,177.406872,177.556824,0.01028,-0.001794,0.010435,-9.901389,,,,
50,,51.0,158.114041,158.005615,0.010444,-0.001841,0.010605,-9.996307,,,,
51,,52.0,140.919287,140.625,0.010612,-0.001873,0.010776,-10.00915,,,,
52,,53.0,125.594447,125.558037,0.010783,-0.001894,0.010948,-9.963588,,,,
53,,54.0,111.936169,111.60714,0.010944,-0.001915,0.01111,-9.923636,,,,
54,,55.0,99.763216,99.734039,0.011109,-0.001905,0.011271,-9.730783,,,,
55,,56.0,88.914059,89.285713,0.011306,-0.00192,0.011468,-9.637884,,,,
56,,57.0,79.244739,79.44915,0.011473,-0.001886,0.011627,-9.332994,,,,
57,,58.0,70.626948,70.488724,0.011655,-0.001863,0.011803,-9.081982,,,,
58,,59.0,62.946334,62.919464,0.011848,-0.00182,0.011987,-8.732667,,,,
59,,60.0,56.100979,55.80357,0.012012,-0.001708,0.012133,-8.094629,,,,
60,,61.0,50.00005,49.86702,0.012191,-0.001738,0.012314,-8.115099,,,,
61,,62.0,44.562591,44.642857,0.012266,-0.001714,0.012385,-7.953906,,,,
62,,63.0,39.716451,39.724575,0.012441,-0.001594,0.012543,-7.302313,,,,
63,,64.0,35.397325,35.511364,0.012522,-0.00154,0.012617,-7.013167,,,,
64,,65.0,31.547899,31.459732,0.012646,-0.001456,0.012729,-6.565693,,,,
65,,66.0,28.117094,28.237951,0.012699,-0.001427,0.012779,-6.412294,,,,
66,,67.0,25.059387,24.93351,0.012795,-0.00138,0.012869,-6.15362,,,,
67,,68.0,22.334202,22.321428,0.012901,-0.001363,0.012973,-6.031859,,,,
68,,69.0,19.905378,19.862288,0.012973,-0.001281,0.013036,-5.640133,,,,
69,,70.0,17.740687,17.755682,0.013047,-0.001261,0.013108,-5.522057,,,,
70,,71.0,15.811404,15.782828,0.013102,-0.001172,0.013155,-5.110975,,,,
71,,72.0,14.091929,14.118976,0.013242,-0.001234,0.0133,-5.322691,,,,
72,,73.0,12.559445,12.600806,0.013212,-0.001143,0.013261,-4.944209,,,,
73,,74.0,11.193617,11.160714,0.01338,-0.001147,0.013429,-4.900549,,,,
74,,75.0,9.976322,9.973404,0.01348,-0.001081,0.013524,-4.584681,,,,
75,,76.0,8.891406,8.877841,0.013589,-0.001102,0.013633,-4.637571,,,,
76,,77.0,7.924474,7.878151,0.013714,-0.001159,0.013763,-4.83249,,,,
77,,78.0,7.062695,7.059488,0.013791,-0.001034,0.01383,-4.285767,,,,
78,,79.0,6.294633,6.2751,0.013894,-0.001003,0.01393,-4.130244,,,,
79,,80.0,5.610098,5.580357,0.014006,-0.000927,0.014037,-3.786338,,,,
80,,81.0,5.000005,5.013369,0.014019,-0.000912,0.014049,-3.723243,,,,
81,,82.0,4.456259,4.451567,0.014129,-0.000837,0.014154,-3.391871,,,,
82,,83.0,3.971645,3.985969,0.014223,-0.000807,0.014246,-3.248161,,,,
83,,84.0,3.539732,3.529744,0.01427,-0.000685,0.014286,-2.750104,,,,
84,,85.0,3.15479,3.13755,0.014252,-0.000548,0.014263,-2.203888,,,,
85,,86.0,2.811709,2.823795,0.014303,-0.000533,0.014313,-2.132137,,,,
86,,87.0,2.505939,2.516103,0.014325,-0.000487,0.014333,-1.947021,,,,
87,,88.0,2.23342,2.225784,0.014372,-0.000416,0.014378,-1.656869,,,,
88,,89.0,1.990538,1.99553,0.014382,-0.000233,0.014384,-0.927527,,,,
89,,90.0,1.774069,1.775568,0.014401,-0.000222,0.014403,-0.884962,,,,
90,,91.0,1.58114,1.583615,0.01442,-0.000157,0.014421,-0.625717,,,,
91,,92.0,1.409193,1.411472,0.014393,-8.399409e-05,0.014394,-0.33435,,,,
92,,93.0,1.255944,1.258052,0.014354,-2.96624e-05,0.014354,-0.118401,,,,
93,,94.0,1.119362,1.112892,0.014352,-1.987869e-05,0.014352,-0.079361,,,,
94,,95.0,0.997632,0.997765,0.014317,7.356935e-05,0.014317,0.294411,,,,
95,,96.0,0.889141,0.890313,0.014277,0.000112,0.014278,0.450681,,,,
96,,97.0,0.792447,0.792745,0.014234,0.00015,0.014235,0.602947,,,,
97,,98.0,0.706269,0.705736,0.01425,0.00016,0.01425,0.644969,,,,
98,,99.0,0.629463,0.63004,0.014183,0.000217,0.014185,0.877344,,,,
99,,100.0,0.56101,0.563401,0.014174,0.000243,0.014176,0.984057,,,,
100,,101.0,0.500001,0.500801,0.014116,0.000282,0.014119,1.143397,,,,
101,,102.0,0.445626,0.447281,0.014051,0.00032,0.014055,1.304298,,,,
102,,103.0,0.397165,0.398597,0.014046,0.000319,0.014049,1.299952,,,,
103,,104.0,0.353973,0.355114,0.01397,0.000377,0.013975,1.54517,,,,
104,,105.0,0.315479,0.316723,0.013953,0.000377,0.013958,1.545858,,,,
105,,106.0,0.281171,0.281701,0.013889,0.000386,0.013895,1.59146,,,,
106,,107.0,0.250594,0.251475,0.01382,0.000416,0.013826,1.723537,,,,
107,,108.0,0.223342,0.22364,0.013774,0.000436,0.013781,1.81201,,,,
108,,109.0,0.199054,0.199298,0.013711,0.000439,0.013718,1.835371,,,,
109,,110.0,0.177407,0.177557,0.013657,0.00045,0.013664,1.887209,,,,
110,,111.0,0.158114,0.158361,0.013584,0.000463,0.013592,1.95203,,,,
111,,112.0,0.140919,0.14119,0.013514,0.000484,0.013523,2.049811,,,,
112,,113.0,0.125594,0.125738,0.013442,0.000511,0.013451,2.179246,,,,
113,,114.0,0.111936,0.112034,0.013369,0.000523,0.013379,2.238345,,,,
