,index,datapoints [#],time [s],frequency [Hz],Z_real [Ohm],Z_imag [Ohm],Z_sig [V],Zmod [ohm],Z_phz [°C],I_DC [A],V_DC [V],IE_Range [#]
95,,96.0,0.889141,0.890313,0.014392,0.000125,0.014393,0.497238,,,,
96,,97.0,0.792447,0.792745,0.014307,0.000134,0.014308,0.536345,,,,
97,,98.0,0.706269,0.705736,0.014304,0.000178,0.014305,0.711976,,,,
98,,99.0,0.629463,0.63004,0.014264,0.000234,0.014266,0.939681,,,,
99,,100.0,0.56101,0.563401,0.014234,0.000262,0.014237,1.054389,,,,
100,,101.0,0.500001,0.500801,0.014162,0.000295,0.014165,1.192427,,,,
101,,102.0,0.445626,0.447281,0.014146,0.000315,0.01415,1.276945,,,,
102,,103.0,0.397165,0.398597,0.014086,0.000377,0.014091,1.531666,,,,
103,,104.0,0.353973,0.355114,0.014072,0.000342,0.014076,1.391183,,,,
104,,105.0,0.315479,0.316723,0.013999,0.000358,0.014004,1.462877,,,,
105,,106.0,0.281171,0.281701,0.013915,0.000395,0.013921,1.624259,,,,
106,,107.0,0.250594,0.251475,0.013911,0.000415,0.013917,1.70955,,,,
107,,108.0,0.223342,0.22364,0.013862,0.000433,0.013869,1.789295,,,,
108,,109.0,0.199054,0.199298,0.013793,0.00048,0.013801,1.993082,,,,
109,,110.0,0.177407,0.177557,0.013757,0.000413,0.013764,1.718921,,,,
110,,111.0,0.158114,0.158361,0.013666,0.000467,0.013674,1.958764,,,,
111,,112.0,0.140919,0.14119,0.013591,0.00048,0.013599,2.020725,,,,
112,,113.0,0.125594,0.125738,0.013528,0.000495,0.013537,2.09612,,,,
113,,114.0,0.111936,0.112034,0.01348,0.000519,0.01349,2.206514,,,,
