,time [s],voltage [V],current [A]
239,1.759333,-0.22499,-0.498616
240,1.766917,-0.225758,-0.460781
241,1.7745,-0.226496,-0.490169
242,1.782083,-0.227253,-0.450378
243,1.789667,-0.228009,-0.481458
244,1.79725,-0.2288,-0.442436
245,1.804833,-0.229567,-0.472595
246,1.812417,-0.230298,-0.433407
247,1.82,-0.23107,-0.460172
248,1.827583,-0.231787,-0.425814
249,1.835167,-0.232575,-0.446902
250,1.84275,-0.233336,-0.420953
251,1.850333,-0.234128,-0.434459
252,1.857917,-0.234833,-0.412989
253,1.8655,-0.235629,-0.419323
254,1.873083,-0.236326,-0.40688
255,1.880667,-0.237125,-0.404047
256,1.88825,-0.237876,-0.40348
257,1.895833,-0.238671,-0.390774
258,1.903417,-0.239374,-0.396475
259,1.911,-0.240165,-0.375592
260,1.918583,-0.240879,-0.38981
261,1.926167,-0.241664,-0.361264
262,1.93375,-0.242428,-0.384872
263,1.941333,-0.243203,-0.350197
264,1.948917,-0.243927,-0.376697
265,1.9565,-0.244697,-0.33775
266,1.964083,-0.245446,-0.368081
267,1.971667,-0.24619,-0.326829
268,1.97925,-0.24699,-0.36047
269,1.986833,-0.247727,-0.319539
270,1.994417,-0.248503,-0.349621
271,2.002,-0.249228,-0.311323
272,2.009583,-0.250003,-0.338387
273,2.017167,-0.250731,-0.304598
274,2.02475,-0.251566,-0.328705
275,2.032333,-0.252269,-0.300539
276,2.039917,-0.253076,-0.31588
277,2.0475,-0.253774,-0.295811
278,2.055084,-0.25458,-0.302941
279,2.062667,-0.255276,-0.292095
280,2.07025,-0.256087,-0.290794
281,2.077833,-0.256817,-0.29002
282,2.085417,-0.257628,-0.279894
283,2.093,-0.258319,-0.286618
284,2.100583,-0.259118,-0.267939
285,2.108167,-0.25982,-0.283419
286,2.11575,-0.26061,-0.25718
287,2.123333,-0.261373,-0.282183
288,2.130917,-0.262161,-0.249142
289,2.1385,-0.262884,-0.277551
290,2.146083,-0.263644,-0.240252
291,2.153667,-0.264384,-0.271956
292,2.16125,-0.265134,-0.233273
293,2.168833,-0.265939,-0.268669
294,2.176417,-0.266676,-0.229206
295,2.184,-0.26744,-0.261512
296,2.191583,-0.268164,-0.224492
297,2.199167,-0.268946,-0.253985
298,2.20675,-0.26966,-0.22211
299,2.214334,-0.270507,-0.247452
300,2.221917,-0.27121,-0.22144
301,2.2295,-0.272009,-0.238607
302,2.237083,-0.272696,-0.219528
303,2.244667,-0.273513,-0.229617
304,2.25225,-0.274194,-0.21855
305,2.259833,-0.275064,-0.222048
306,2.267417,-0.275747,-0.22716
307,2.275,-0.276573,-0.211122
308,2.282583,-0.277251,-0.2196
309,2.290167,-0.278066,-0.202916
310,2.29775,-0.278756,-0.219284
311,2.305333,-0.279613,-0.196964
312,2.312917,-0.280308,-0.219706
313,2.3205,-0.2811,-0.188852
314,2.328084,-0.281826,-0.218736
315,2.335667,-0.28259,-0.182251
316,2.34325,-0.283323,-0.21622
317,2.350833,-0.284123,-0.179465
318,2.358417,-0.284888,-0.213896
319,2.366,-0.285626,-0.175667
320,2.373583,-0.286388,-0.208191
321,2.381167,-0.287107,-0.173542
322,2.38875,-0.287897,-0.203815
323,2.396333,-0.288639,-0.174043
324,2.403917,-0.289444,-0.198328
325,2.4115,-0.29014,-0.172995
326,2.419083,-0.290955,-0.191041
327,2.426667,-0.291632,-0.173289
328,2.43425,-0.292463,-0.183286
329,2.441833,-0.293176,-0.175641
330,2.449417,-0.294013,-0.1775
331,2.457,-0.294673,-0.175973
332,2.464583,-0.29552,-0.169778
333,2.472167,-0.296175,-0.176535
334,2.47975,-0.297018,-0.162381
335,2.487334,-0.297711,-0.179355
336,2.494917,-0.298562,-0.156557
337,2.5025,-0.299226,-0.178979
338,2.510083,-0.300044,-0.149824
339,2.517667,-0.300746,-0.178801
340,2.52525,-0.301533,-0.143935
341,2.532833,-0.302318,-0.179038
342,2.540417,-0.303065,-0.140793
343,2.548,-0.303826,-0.176074
344,2.555583,-0.304559,-0.137846
345,2.563167,-0.305338,-0.171549
